------------------------------------------------------------
 Wavefunction  1
------------------------------------------------------------
Distance (nm), Wavefunction (arbitrary units)
                 -35,             2.36e-08
               -34.9,             2.36e-08
               -34.8,             2.37e-08
               -34.7,             2.39e-08
               -34.6,             2.41e-08
               -34.5,             2.45e-08
               -34.4,             2.49e-08
               -34.3,             2.53e-08
               -34.2,             2.59e-08
               -34.1,             2.65e-08
                 -34,             2.72e-08
               -33.9,              2.8e-08
               -33.8,             2.88e-08
               -33.7,             2.98e-08
               -33.6,             3.08e-08
               -33.5,              3.2e-08
               -33.4,             3.32e-08
               -33.3,             3.45e-08
               -33.2,             3.59e-08
               -33.1,             3.75e-08
                 -33,             3.91e-08
               -32.9,             4.09e-08
               -32.8,             4.28e-08
               -32.7,             4.48e-08
               -32.6,             4.69e-08
               -32.5,             4.92e-08
               -32.4,             5.16e-08
               -32.3,             5.42e-08
               -32.2,              5.7e-08
               -32.1,             5.99e-08
                 -32,              6.3e-08
               -31.9,             6.63e-08
               -31.8,             6.98e-08
               -31.7,             7.35e-08
               -31.6,             7.74e-08
               -31.5,             8.15e-08
               -31.4,             8.59e-08
               -31.3,             9.05e-08
               -31.2,             9.54e-08
               -31.1,             1.01e-07
                 -31,             1.06e-07
               -30.9,             1.12e-07
               -30.8,             1.18e-07
               -30.7,             1.25e-07
               -30.6,             1.31e-07
               -30.5,             1.39e-07
               -30.4,             1.46e-07
               -30.3,             1.55e-07
               -30.2,             1.63e-07
               -30.1,             1.72e-07
                 -30,             1.82e-07
               -29.9,             1.92e-07
               -29.8,             2.03e-07
               -29.7,             2.14e-07
               -29.6,             2.26e-07
               -29.5,             2.38e-07
               -29.4,             2.52e-07
               -29.3,             2.66e-07
               -29.2,             2.81e-07
               -29.1,             2.96e-07
                 -29,             3.13e-07
               -28.9,              3.3e-07
               -28.8,             3.49e-07
               -28.7,             3.68e-07
               -28.6,             3.89e-07
               -28.5,             4.11e-07
               -28.4,             4.34e-07
               -28.3,             4.58e-07
               -28.2,             4.84e-07
               -28.1,             5.11e-07
                 -28,             5.39e-07
               -27.9,              5.7e-07
               -27.8,             6.02e-07
               -27.7,             6.35e-07
               -27.6,             6.71e-07
               -27.5,             7.09e-07
               -27.4,             7.48e-07
               -27.3,              7.9e-07
               -27.2,             8.35e-07
               -27.1,             8.81e-07
                 -27,             9.31e-07
               -26.9,             9.83e-07
               -26.8,             1.04e-06
               -26.7,              1.1e-06
               -26.6,             1.16e-06
               -26.5,             1.22e-06
               -26.4,             1.29e-06
               -26.3,             1.36e-06
               -26.2,             1.44e-06
               -26.1,             1.52e-06
                 -26,             1.61e-06
               -25.9,              1.7e-06
               -25.8,             1.79e-06
               -25.7,             1.89e-06
               -25.6,                2e-06
               -25.5,             2.11e-06
               -25.4,             2.23e-06
               -25.3,             2.35e-06
               -25.2,             2.49e-06
               -25.1,             2.63e-06
                 -25,             2.77e-06
               -24.9,             2.93e-06
               -24.8,             3.09e-06
               -24.7,             3.27e-06
               -24.6,             3.45e-06
               -24.5,             3.64e-06
               -24.4,             3.85e-06
               -24.3,             4.06e-06
               -24.2,             4.29e-06
               -24.1,             4.53e-06
                 -24,             4.79e-06
               -23.9,             5.06e-06
               -23.8,             5.34e-06
               -23.7,             5.64e-06
               -23.6,             5.95e-06
               -23.5,             6.29e-06
               -23.4,             6.64e-06
               -23.3,             7.01e-06
               -23.2,             7.41e-06
               -23.1,             7.82e-06
                 -23,             8.26e-06
               -22.9,             8.73e-06
               -22.8,             9.22e-06
               -22.7,             9.73e-06
               -22.6,             1.03e-05
               -22.5,             1.09e-05
               -22.4,             1.15e-05
               -22.3,             1.21e-05
               -22.2,             1.28e-05
               -22.1,             1.35e-05
                 -22,             1.43e-05
               -21.9,             1.51e-05
               -21.8,             1.59e-05
               -21.7,             1.68e-05
               -21.6,             1.77e-05
               -21.5,             1.87e-05
               -21.4,             1.98e-05
               -21.3,             2.09e-05
               -21.2,             2.21e-05
               -21.1,             2.33e-05
                 -21,             2.46e-05
               -20.9,              2.6e-05
               -20.8,             2.75e-05
               -20.7,              2.9e-05
               -20.6,             3.06e-05
               -20.5,             3.23e-05
               -20.4,             3.42e-05
               -20.3,             3.61e-05
               -20.2,             3.81e-05
               -20.1,             4.02e-05
                 -20,             4.25e-05
               -19.9,             4.49e-05
               -19.8,             4.74e-05
               -19.7,             5.01e-05
               -19.6,             5.29e-05
               -19.5,             5.58e-05
               -19.4,              5.9e-05
               -19.3,             6.23e-05
               -19.2,             6.58e-05
               -19.1,             6.95e-05
                 -19,             7.34e-05
               -18.9,             7.75e-05
               -18.8,             8.18e-05
               -18.7,             8.64e-05
               -18.6,             9.13e-05
               -18.5,             9.64e-05
               -18.4,             0.000102
               -18.3,             0.000107
               -18.2,             0.000114
               -18.1,              0.00012
                 -18,             0.000127
               -17.9,             0.000134
               -17.8,             0.000141
               -17.7,             0.000149
               -17.6,             0.000158
               -17.5,             0.000166
               -17.4,             0.000176
               -17.3,             0.000186
               -17.2,             0.000196
               -17.1,             0.000207
                 -17,             0.000219
               -16.9,             0.000231
               -16.8,             0.000244
               -16.7,             0.000257
               -16.6,             0.000272
               -16.5,             0.000287
               -16.4,             0.000303
               -16.3,              0.00032
               -16.2,             0.000338
               -16.1,             0.000357
                 -16,             0.000377
               -15.9,             0.000398
               -15.8,             0.000421
               -15.7,             0.000444
               -15.6,             0.000469
               -15.5,             0.000496
               -15.4,             0.000524
               -15.3,             0.000553
               -15.2,             0.000584
               -15.1,             0.000617
                 -15,             0.000651
               -14.9,             0.000688
               -14.8,             0.000726
               -14.7,             0.000767
               -14.6,              0.00081
               -14.5,             0.000856
               -14.4,             0.000904
               -14.3,             0.000954
               -14.2,              0.00101
               -14.1,              0.00106
                 -14,              0.00112
               -13.9,              0.00119
               -13.8,              0.00125
               -13.7,              0.00132
               -13.6,               0.0014
               -13.5,              0.00148
               -13.4,              0.00156
               -13.3,              0.00165
               -13.2,              0.00174
               -13.1,              0.00184
                 -13,              0.00194
               -12.9,              0.00205
               -12.8,              0.00216
               -12.7,              0.00229
               -12.6,              0.00241
               -12.5,              0.00255
               -12.4,              0.00269
               -12.3,              0.00284
               -12.2,                0.003
               -12.1,              0.00317
                 -12,              0.00335
               -11.9,              0.00354
               -11.8,              0.00374
               -11.7,              0.00395
               -11.6,              0.00417
               -11.5,               0.0044
               -11.4,              0.00465
               -11.3,              0.00491
               -11.2,              0.00518
               -11.1,              0.00547
                 -11,              0.00578
               -10.9,              0.00611
               -10.8,              0.00645
               -10.7,              0.00681
               -10.6,              0.00719
               -10.5,               0.0076
               -10.4,              0.00802
               -10.3,              0.00847
               -10.2,              0.00895
               -10.1,              0.00945
                 -10,              0.00998
                -9.9,               0.0105
                -9.8,               0.0111
                -9.7,               0.0118
                -9.6,               0.0124
                -9.5,               0.0131
                -9.4,               0.0138
                -9.3,               0.0146
                -9.2,               0.0154
                -9.1,               0.0163
                  -9,               0.0172
                -8.9,               0.0182
                -8.8,               0.0192
                -8.7,               0.0203
                -8.6,               0.0214
                -8.5,               0.0226
                -8.4,               0.0239
                -8.3,               0.0252
                -8.2,               0.0267
                -8.1,               0.0282
                  -8,               0.0297
                -7.9,               0.0314
                -7.8,               0.0332
                -7.7,                0.035
                -7.6,                0.037
                -7.5,               0.0391
                -7.4,               0.0413
                -7.3,               0.0436
                -7.2,                0.046
                -7.1,               0.0486
                  -7,               0.0513
                -6.9,               0.0542
                -6.8,               0.0573
                -6.7,               0.0605
                -6.6,               0.0639
                -6.5,               0.0674
                -6.4,               0.0712
                -6.3,               0.0752
                -6.2,               0.0794
                -6.1,               0.0839
                  -6,               0.0886
                -5.9,               0.0936
                -5.8,               0.0988
                -5.7,                0.104
                -5.6,                 0.11
                -5.5,                0.116
                -5.4,                0.123
                -5.3,                 0.13
                -5.2,                0.137
                -5.1,                0.145
                  -5,                0.153
                -4.9,                0.161
                -4.8,                0.169
                -4.7,                0.177
                -4.6,                0.185
                -4.5,                0.192
                -4.4,                  0.2
                -4.3,                0.207
                -4.2,                0.215
                -4.1,                0.222
                  -4,                0.229
                -3.9,                0.236
                -3.8,                0.243
                -3.7,                 0.25
                -3.6,                0.256
                -3.5,                0.263
                -3.4,                0.269
                -3.3,                0.275
                -3.2,                0.281
                -3.1,                0.287
                  -3,                0.293
                -2.9,                0.298
                -2.8,                0.304
                -2.7,                0.309
                -2.6,                0.314
                -2.5,                0.319
                -2.4,                0.324
                -2.3,                0.328
                -2.2,                0.333
                -2.1,                0.337
                  -2,                0.341
                -1.9,                0.345
                -1.8,                0.349
                -1.7,                0.352
                -1.6,                0.355
                -1.5,                0.358
                -1.4,                0.361
                -1.3,                0.364
                -1.2,                0.367
                -1.1,                0.369
                  -1,                0.371
                -0.9,                0.373
                -0.8,                0.375
                -0.7,                0.376
                -0.6,                0.378
                -0.5,                0.379
                -0.4,                 0.38
                -0.3,                 0.38
                -0.2,                0.381
                -0.1,                0.381
            2.28e-13,                0.381
                 0.1,                0.381
                 0.2,                0.381
                 0.3,                 0.38
                 0.4,                 0.38
                 0.5,                0.379
                 0.6,                0.378
                 0.7,                0.376
                 0.8,                0.375
                 0.9,                0.373
                   1,                0.371
                 1.1,                0.369
                 1.2,                0.367
                 1.3,                0.364
                 1.4,                0.361
                 1.5,                0.358
                 1.6,                0.355
                 1.7,                0.352
                 1.8,                0.349
                 1.9,                0.345
                   2,                0.341
                 2.1,                0.337
                 2.2,                0.333
                 2.3,                0.328
                 2.4,                0.324
                 2.5,                0.319
                 2.6,                0.314
                 2.7,                0.309
                 2.8,                0.304
                 2.9,                0.298
                   3,                0.293
                 3.1,                0.287
                 3.2,                0.281
                 3.3,                0.275
                 3.4,                0.269
                 3.5,                0.263
                 3.6,                0.256
                 3.7,                 0.25
                 3.8,                0.243
                 3.9,                0.236
                   4,                0.229
                 4.1,                0.222
                 4.2,                0.215
                 4.3,                0.207
                 4.4,                  0.2
                 4.5,                0.192
                 4.6,                0.185
                 4.7,                0.177
                 4.8,                0.169
                 4.9,                0.161
                   5,                0.153
                 5.1,                0.145
                 5.2,                0.137
                 5.3,                 0.13
                 5.4,                0.123
                 5.5,                0.116
                 5.6,                 0.11
                 5.7,                0.104
                 5.8,               0.0988
                 5.9,               0.0936
                   6,               0.0886
                 6.1,               0.0839
                 6.2,               0.0794
                 6.3,               0.0752
                 6.4,               0.0712
                 6.5,               0.0674
                 6.6,               0.0639
                 6.7,               0.0605
                 6.8,               0.0573
                 6.9,               0.0542
                   7,               0.0513
                 7.1,               0.0486
                 7.2,                0.046
                 7.3,               0.0436
                 7.4,               0.0413
                 7.5,               0.0391
                 7.6,                0.037
                 7.7,                0.035
                 7.8,               0.0332
                 7.9,               0.0314
                   8,               0.0297
                 8.1,               0.0282
                 8.2,               0.0267
                 8.3,               0.0252
                 8.4,               0.0239
                 8.5,               0.0226
                 8.6,               0.0214
                 8.7,               0.0203
                 8.8,               0.0192
                 8.9,               0.0182
                   9,               0.0172
                 9.1,               0.0163
                 9.2,               0.0154
                 9.3,               0.0146
                 9.4,               0.0138
                 9.5,               0.0131
                 9.6,               0.0124
                 9.7,               0.0118
                 9.8,               0.0111
                 9.9,               0.0105
                  10,              0.00998
                10.1,              0.00945
                10.2,              0.00895
                10.3,              0.00847
                10.4,              0.00802
                10.5,               0.0076
                10.6,              0.00719
                10.7,              0.00681
                10.8,              0.00645
                10.9,              0.00611
                  11,              0.00578
                11.1,              0.00547
                11.2,              0.00518
                11.3,              0.00491
                11.4,              0.00465
                11.5,               0.0044
                11.6,              0.00417
                11.7,              0.00395
                11.8,              0.00374
                11.9,              0.00354
                  12,              0.00335
                12.1,              0.00317
                12.2,                0.003
                12.3,              0.00284
                12.4,              0.00269
                12.5,              0.00255
                12.6,              0.00241
                12.7,              0.00229
                12.8,              0.00216
                12.9,              0.00205
                  13,              0.00194
                13.1,              0.00184
                13.2,              0.00174
                13.3,              0.00165
                13.4,              0.00156
                13.5,              0.00148
                13.6,               0.0014
                13.7,              0.00132
                13.8,              0.00125
                13.9,              0.00119
                  14,              0.00112
                14.1,              0.00106
                14.2,              0.00101
                14.3,             0.000954
                14.4,             0.000904
                14.5,             0.000856
                14.6,              0.00081
                14.7,             0.000767
                14.8,             0.000726
                14.9,             0.000688
                  15,             0.000651
                15.1,             0.000617
                15.2,             0.000584
                15.3,             0.000553
                15.4,             0.000524
                15.5,             0.000496
                15.6,             0.000469
                15.7,             0.000444
                15.8,             0.000421
                15.9,             0.000398
                  16,             0.000377
                16.1,             0.000357
                16.2,             0.000338
                16.3,              0.00032
                16.4,             0.000303
                16.5,             0.000287
                16.6,             0.000272
                16.7,             0.000257
                16.8,             0.000244
                16.9,             0.000231
                  17,             0.000219
                17.1,             0.000207
                17.2,             0.000196
                17.3,             0.000186
                17.4,             0.000176
                17.5,             0.000166
                17.6,             0.000158
                17.7,             0.000149
                17.8,             0.000141
                17.9,             0.000134
                  18,             0.000127
                18.1,              0.00012
                18.2,             0.000114
                18.3,             0.000107
                18.4,             0.000102
                18.5,             9.64e-05
                18.6,             9.13e-05
                18.7,             8.64e-05
                18.8,             8.18e-05
                18.9,             7.75e-05
                  19,             7.34e-05
                19.1,             6.95e-05
                19.2,             6.58e-05
                19.3,             6.23e-05
                19.4,              5.9e-05
                19.5,             5.58e-05
                19.6,             5.29e-05
                19.7,             5.01e-05
                19.8,             4.74e-05
                19.9,             4.49e-05
                  20,             4.25e-05
                20.1,             4.02e-05
                20.2,             3.81e-05
                20.3,             3.61e-05
                20.4,             3.42e-05
                20.5,             3.23e-05
                20.6,             3.06e-05
                20.7,              2.9e-05
                20.8,             2.75e-05
                20.9,              2.6e-05
                  21,             2.46e-05
                21.1,             2.33e-05
                21.2,             2.21e-05
                21.3,             2.09e-05
                21.4,             1.98e-05
                21.5,             1.87e-05
                21.6,             1.77e-05
                21.7,             1.68e-05
                21.8,             1.59e-05
                21.9,             1.51e-05
                  22,             1.43e-05
