n,Energy in Joules,Energy in eV
1,8.99204073761156e-21,0.0561239038617234
2,3.59681629504463e-20,0.224495615446894
3,8.09283666385041e-20,0.505115134755511
4,1.43872651801785e-19,0.897982461787575
5,2.24801018440289e-19,1.40309759654309
6,3.23713466554016e-19,2.02046053902204
7,4.40609996142967e-19,2.75007128922445
8,5.7549060720714e-19,3.5919298471503
9,7.28355299746537e-19,4.5460362127996
10,8.99204073761156e-19,5.61239038617234
