n_x,n_y,n_z,m_x,m_y,m_z,Energy Transition (in eV)
6,3,1,0,1,0,0.264953188127603
6,3,2,0,1,0,0.582897013880727
6,3,3,0,1,0,1.11280339013593
6,4,0,0,1,0,0.205338720798892
6,4,1,0,1,0,0.311319996049934
6,4,2,0,1,0,0.629263821803057
6,4,3,0,1,0,1.15917019805826
6,5,0,0,1,0,0.264953188127603
6,5,1,0,1,0,0.370934463378644
6,5,2,0,1,0,0.688878289131768
6,5,3,0,1,0,1.21878466538697
6,6,0,0,1,0,0.337815314862694
6,6,1,0,1,0,0.443796590113735
6,6,2,0,1,0,0.761740415866859
6,6,3,0,1,0,1.29164679212207
6,7,0,0,1,0,0.423925101004165
6,7,1,0,1,0,0.529906376255206
6,7,2,0,1,0,0.84785020200833
6,7,3,0,1,0,1.37775657826354
6,8,0,0,1,0,0.523282546552016
6,8,1,0,1,0,0.629263821803057
6,8,2,0,1,0,0.947207647556181
6,8,3,0,1,0,1.47711402381139
6,9,0,0,1,0,0.635887651506247
6,9,1,0,1,0,0.741868926757289
6,9,2,0,1,0,1.05981275251041
6,9,3,0,1,0,1.58971912876562
7,0,0,0,1,0,0.137628461610727
7,0,1,0,1,0,0.243609736861768
7,0,2,0,1,0,0.561553562614892
7,0,3,0,1,0,1.0914599388701
7,1,0,0,1,0,0.144252291313917
7,1,1,0,1,0,0.250233566564958
7,1,2,0,1,0,0.568177392318082
7,1,3,0,1,0,1.09808376857329
7,2,0,0,1,0,0.164123780423487
7,2,1,0,1,0,0.270105055674529
7,2,2,0,1,0,0.588048881427652
7,2,3,0,1,0,1.11795525768286
7,3,0,0,1,0,0.197242928939438
7,3,1,0,1,0,0.303224204190479
7,3,2,0,1,0,0.621168029943603
7,3,3,0,1,0,1.15107440619881
7,4,0,0,1,0,0.243609736861768
7,4,1,0,1,0,0.34959101211281
7,4,2,0,1,0,0.667534837865933
7,4,3,0,1,0,1.19744121412114
7,5,0,0,1,0,0.303224204190479
7,5,1,0,1,0,0.40920547944152
7,5,2,0,1,0,0.727149305194644
7,5,3,0,1,0,1.25705568144985
7,6,0,0,1,0,0.37608633092557
7,6,1,0,1,0,0.482067606176611
7,6,2,0,1,0,0.800011431929735
7,6,3,0,1,0,1.32991780818494
7,7,0,0,1,0,0.462196117067041
7,7,1,0,1,0,0.568177392318082
7,7,2,0,1,0,0.886121218071206
7,7,3,0,1,0,1.41602759432641
7,8,0,0,1,0,0.561553562614892
7,8,1,0,1,0,0.667534837865933
7,8,2,0,1,0,0.985478663619057
7,8,3,0,1,0,1.51538503987426
7,9,0,0,1,0,0.674158667569123
7,9,1,0,1,0,0.780139942820165
7,9,2,0,1,0,1.09808376857329
7,9,3,0,1,0,1.62799014482849
8,0,0,0,1,0,0.181787326298661
8,0,1,0,1,0,0.287768601549702
8,0,2,0,1,0,0.605712427302826
8,0,3,0,1,0,1.13561880355803
8,1,0,0,1,0,0.188411156001851
8,1,1,0,1,0,0.294392431252892
8,1,2,0,1,0,0.612336257006016
8,1,3,0,1,0,1.14224263326122
8,2,0,0,1,0,0.208282645111421
8,2,1,0,1,0,0.314263920362463
8,2,2,0,1,0,0.632207746115586
8,2,3,0,1,0,1.16211412237079
8,3,0,0,1,0,0.241401793627372
8,3,1,0,1,0,0.347383068878413
8,3,2,0,1,0,0.665326894631537
8,3,3,0,1,0,1.19523327088674
8,4,0,0,1,0,0.287768601549702
8,4,1,0,1,0,0.393749876800744
8,4,2,0,1,0,0.711693702553867
8,4,3,0,1,0,1.24160007880907
8,5,0,0,1,0,0.347383068878413
8,5,1,0,1,0,0.453364344129454
8,5,2,0,1,0,0.771308169882578
8,5,3,0,1,0,1.30121454613778
8,6,0,0,1,0,0.420245195613504
8,6,1,0,1,0,0.526226470864545
8,6,2,0,1,0,0.844170296617669
8,6,3,0,1,0,1.37407667287288
8,7,0,0,1,0,0.506354981754975
8,7,1,0,1,0,0.612336257006016
8,7,2,0,1,0,0.93028008275914
8,7,3,0,1,0,1.46018645901435
8,8,0,0,1,0,0.605712427302826
8,8,1,0,1,0,0.711693702553867
8,8,2,0,1,0,1.02963752830699
8,8,3,0,1,0,1.5595439045622
8,9,0,0,1,0,0.718317532257057
8,9,1,0,1,0,0.824298807508099
8,9,2,0,1,0,1.14224263326122
8,9,3,0,1,0,1.67214900951643
9,0,0,0,1,0,0.231834039611653
9,0,1,0,1,0,0.337815314862694
9,0,2,0,1,0,0.655759140615818
9,0,3,0,1,0,1.18566551687102
9,1,0,0,1,0,0.238457869314843
9,1,1,0,1,0,0.344439144565884
9,1,2,0,1,0,0.662382970319008
9,1,3,0,1,0,1.19228934657421
9,2,0,0,1,0,0.258329358424413
9,2,1,0,1,0,0.364310633675454
9,2,2,0,1,0,0.682254459428578
9,2,3,0,1,0,1.21216083568378
9,3,0,0,1,0,0.291448506940363
9,3,1,0,1,0,0.397429782191405
9,3,2,0,1,0,0.715373607944528
9,3,3,0,1,0,1.24527998419973
9,4,0,0,1,0,0.337815314862694
9,4,1,0,1,0,0.443796590113735
9,4,2,0,1,0,0.761740415866859
9,4,3,0,1,0,1.29164679212207
9,5,0,0,1,0,0.397429782191405
9,5,1,0,1,0,0.503411057442446
9,5,2,0,1,0,0.82135488319557
9,5,3,0,1,0,1.35126125945078
9,6,0,0,1,0,0.470291908926496
9,6,1,0,1,0,0.576273184177537
9,6,2,0,1,0,0.89421700993066
9,6,3,0,1,0,1.42412338618587
9,7,0,0,1,0,0.556401695067967
9,7,1,0,1,0,0.662382970319008
9,7,2,0,1,0,0.980326796072131
9,7,3,0,1,0,1.51023317232734
9,8,0,0,1,0,0.655759140615818
9,8,1,0,1,0,0.761740415866859
9,8,2,0,1,0,1.07968424161998
9,8,3,0,1,0,1.60959061787519
9,9,0,0,1,0,0.768364245570049
9,9,1,0,1,0,0.87434552082109
9,9,2,0,1,0,1.19228934657421
9,9,3,0,1,0,1.72219572282942
