------------------------------------------------------------
 Wavefunction  1
------------------------------------------------------------
Distance (nm), Wavefunction (arbitrary units)
                 -35,            -7.98e-14
               -34.9,            -7.08e-14
               -34.8,             -6.7e-14
               -34.7,            -7.93e-14
               -34.6,            -1.03e-13
               -34.5,            -1.24e-13
               -34.4,            -1.33e-13
               -34.3,             -1.3e-13
               -34.2,            -1.29e-13
               -34.1,            -1.24e-13
                 -34,             -1.1e-13
               -33.9,            -9.77e-14
               -33.8,            -9.03e-14
               -33.7,             -8.8e-14
               -33.6,            -7.66e-14
               -33.5,            -8.12e-14
               -33.4,             -7.9e-14
               -33.3,             -7.3e-14
               -33.2,            -6.49e-14
               -33.1,            -6.51e-14
                 -33,            -5.82e-14
               -32.9,            -5.94e-14
               -32.8,            -6.35e-14
               -32.7,            -5.63e-14
               -32.6,            -4.51e-14
               -32.5,            -3.78e-14
               -32.4,            -4.22e-14
               -32.3,            -4.42e-14
               -32.2,            -4.46e-14
               -32.1,            -4.19e-14
                 -32,            -4.38e-14
               -31.9,            -4.86e-14
               -31.8,            -4.91e-14
               -31.7,            -4.95e-14
               -31.6,               -5e-14
               -31.5,             -4.1e-14
               -31.4,            -3.49e-14
               -31.3,            -2.64e-14
               -31.2,            -2.59e-14
               -31.1,            -1.63e-14
                 -31,            -6.12e-15
               -30.9,            -5.56e-15
               -30.8,             -1.4e-14
               -30.7,            -3.18e-14
               -30.6,            -5.18e-14
               -30.5,            -8.74e-14
               -30.4,            -1.28e-13
               -30.3,            -1.51e-13
               -30.2,             -1.8e-13
               -30.1,            -2.06e-13
                 -30,            -2.26e-13
               -29.9,            -2.58e-13
               -29.8,            -2.72e-13
               -29.7,            -2.74e-13
               -29.6,            -2.73e-13
               -29.5,            -2.45e-13
               -29.4,            -2.18e-13
               -29.3,            -1.89e-13
               -29.2,            -1.45e-13
               -29.1,            -1.03e-13
                 -29,            -5.89e-14
               -28.9,            -1.58e-14
               -28.8,             2.41e-14
               -28.7,             5.98e-14
               -28.6,             8.88e-14
               -28.5,             1.19e-13
               -28.4,             1.46e-13
               -28.3,             1.83e-13
               -28.2,             2.21e-13
               -28.1,             2.78e-13
                 -28,             3.45e-13
               -27.9,             4.02e-13
               -27.8,              4.6e-13
               -27.7,              5.2e-13
               -27.6,              5.8e-13
               -27.5,             6.38e-13
               -27.4,             6.92e-13
               -27.3,             7.61e-13
               -27.2,             8.48e-13
               -27.1,             9.56e-13
                 -27,             1.07e-12
               -26.9,             1.19e-12
               -26.8,             1.32e-12
               -26.7,             1.45e-12
               -26.6,             1.59e-12
               -26.5,             1.73e-12
               -26.4,              1.9e-12
               -26.3,             2.11e-12
               -26.2,             2.35e-12
               -26.1,             2.62e-12
                 -26,             2.94e-12
               -25.9,             3.29e-12
               -25.8,             3.69e-12
               -25.7,             4.13e-12
               -25.6,              4.6e-12
               -25.5,             5.14e-12
               -25.4,             5.74e-12
               -25.3,             6.42e-12
               -25.2,             7.19e-12
               -25.1,             8.06e-12
                 -25,             9.03e-12
               -24.9,             1.02e-11
               -24.8,             1.14e-11
               -24.7,             1.28e-11
               -24.6,             1.44e-11
               -24.5,             1.61e-11
               -24.4,             1.81e-11
               -24.3,             2.04e-11
               -24.2,             2.28e-11
               -24.1,             2.56e-11
                 -24,             2.88e-11
               -23.9,             3.23e-11
               -23.8,             3.62e-11
               -23.7,             4.07e-11
               -23.6,             4.56e-11
               -23.5,             5.12e-11
               -23.4,             5.75e-11
