n_x,n_y,n_z,m_x,m_y,m_z,Energy_Transition_eV,Interaction_Matrix_Element
0,0,0,1,0,0,-0.0029399186733365,-2.13483316974802e+29
0,0,1,1,0,0,0.102897153566778,-2.13483316974802e+29
0,0,2,1,0,0,0.42040837028712,-2.13483316974802e+29
0,0,3,1,0,0,0.94959373148769,-2.13483316974802e+29
0,1,0,1,0,0,0.00367489834167063,-2.13483316974802e+29
0,1,1,1,0,0,0.109511970581785,-2.13483316974802e+29
0,1,2,1,0,0,0.427023187302127,-2.13483316974802e+29
0,1,3,1,0,0,0.956208548502697,-2.13483316974802e+29
0,2,0,1,0,0,0.023519349386692,-2.13483316974802e+29
0,2,1,1,0,0,0.129356421626806,-2.13483316974802e+29
0,2,2,1,0,0,0.446867638347148,-2.13483316974802e+29
0,2,3,1,0,0,0.976052999547719,-2.13483316974802e+29
0,3,0,1,0,0,0.0565934344617277,-2.13483316974802e+29
0,3,1,1,0,0,0.162430506701842,-2.13483316974802e+29
0,3,2,1,0,0,0.479941723422184,-2.13483316974802e+29
0,3,3,1,0,0,1.00912708462275,-2.13483316974802e+29
0,4,0,1,0,0,0.102897153566778,-2.13483316974802e+29
0,4,1,1,0,0,0.208734225806892,-2.13483316974802e+29
0,4,2,1,0,0,0.526245442527234,-2.13483316974802e+29
0,4,3,1,0,0,1.0554308037278,-2.13483316974802e+29
0,5,0,1,0,0,0.162430506701842,-2.13483316974802e+29
0,5,1,1,0,0,0.268267578941956,-2.13483316974802e+29
0,5,2,1,0,0,0.585778795662298,-2.13483316974802e+29
0,5,3,1,0,0,1.11496415686287,-2.13483316974802e+29
0,6,0,1,0,0,0.23519349386692,-2.13483316974802e+29
0,6,1,1,0,0,0.341030566107034,-2.13483316974802e+29
0,6,2,1,0,0,0.658541782827377,-2.13483316974802e+29
0,6,3,1,0,0,1.18772714402795,-2.13483316974802e+29
0,7,0,1,0,0,0.321186115062013,-2.13483316974802e+29
0,7,1,1,0,0,0.427023187302127,-2.13483316974802e+29
0,7,2,1,0,0,0.744534404022469,-2.13483316974802e+29
0,7,3,1,0,0,1.27371976522304,-2.13483316974802e+29
0,8,0,1,0,0,0.42040837028712,-2.13483316974802e+29
0,8,1,1,0,0,0.526245442527234,-2.13483316974802e+29
0,8,2,1,0,0,0.843756659247576,-2.13483316974802e+29
0,8,3,1,0,0,1.37294202044815,-2.13483316974802e+29
0,9,0,1,0,0,0.532860259542241,-2.13483316974802e+29
0,9,1,1,0,0,0.638697331782355,-2.13483316974802e+29
0,9,2,1,0,0,0.956208548502697,-2.13483316974802e+29
0,9,3,1,0,0,1.48539390970327,-2.13483316974802e+29
1,0,0,1,0,0,0,-2.13483316974802e+29
1,0,1,1,0,0,0.105837072240114,-2.13483316974802e+29
1,0,2,1,0,0,0.423348288960456,-2.13483316974802e+29
1,0,3,1,0,0,0.952533650161027,-2.13483316974802e+29
1,1,0,1,0,0,0.00661481701500713,-2.13483316974802e+29
1,1,1,1,0,0,0.112451889255121,-2.13483316974802e+29
1,1,2,1,0,0,0.429963105975463,-2.13483316974802e+29
1,1,3,1,0,0,0.959148467176034,-2.13483316974802e+29
1,2,0,1,0,0,0.0264592680600285,-2.13483316974802e+29
1,2,1,1,0,0,0.132296340300143,-2.13483316974802e+29
1,2,2,1,0,0,0.449807557020485,-2.13483316974802e+29
1,2,3,1,0,0,0.978992918221055,-2.13483316974802e+29
1,3,0,1,0,0,0.0595333531350642,-2.13483316974802e+29
1,3,1,1,0,0,0.165370425375178,-2.13483316974802e+29
1,3,2,1,0,0,0.482881642095521,-2.13483316974802e+29
1,3,3,1,0,0,1.01206700329609,-2.13483316974802e+29
1,4,0,1,0,0,0.105837072240114,-2.13483316974802e+29
1,4,1,1,0,0,0.211674144480228,-2.13483316974802e+29
1,4,2,1,0,0,0.52918536120057,-2.13483316974802e+29
1,4,3,1,0,0,1.05837072240114,-2.13483316974802e+29
1,5,0,1,0,0,0.165370425375178,-2.13483316974802e+29
1,5,1,1,0,0,0.271207497615292,-2.13483316974802e+29
1,5,2,1,0,0,0.588718714335635,-2.13483316974802e+29
1,5,3,1,0,0,1.11790407553621,-2.13483316974802e+29
1,6,0,1,0,0,0.238133412540257,-2.13483316974802e+29
1,6,1,1,0,0,0.343970484780371,-2.13483316974802e+29
1,6,2,1,0,0,0.661481701500713,-2.13483316974802e+29
1,6,3,1,0,0,1.19066706270128,-2.13483316974802e+29
1,7,0,1,0,0,0.324126033735349,-2.13483316974802e+29
1,7,1,1,0,0,0.429963105975463,-2.13483316974802e+29
1,7,2,1,0,0,0.747474322695806,-2.13483316974802e+29
1,7,3,1,0,0,1.27665968389638,-2.13483316974802e+29
1,8,0,1,0,0,0.423348288960456,-2.13483316974802e+29
1,8,1,1,0,0,0.52918536120057,-2.13483316974802e+29
1,8,2,1,0,0,0.846696577920913,-2.13483316974802e+29
1,8,3,1,0,0,1.37588193912148,-2.13483316974802e+29
1,9,0,1,0,0,0.535800178215578,-2.13483316974802e+29
1,9,1,1,0,0,0.641637250455692,-2.13483316974802e+29
1,9,2,1,0,0,0.959148467176034,-2.13483316974802e+29
1,9,3,1,0,0,1.4883338283766,-2.13483316974802e+29
2,0,0,1,0,0,0.00881975602000951,-2.13483316974802e+29
2,0,1,1,0,0,0.114656828260124,-2.13483316974802e+29
2,0,2,1,0,0,0.432168044980466,-2.13483316974802e+29
2,0,3,1,0,0,0.961353406181036,-2.13483316974802e+29
2,1,0,1,0,0,0.0154345730350166,-2.13483316974802e+29
2,1,1,1,0,0,0.121271645275131,-2.13483316974802e+29
2,1,2,1,0,0,0.438782861995473,-2.13483316974802e+29
2,1,3,1,0,0,0.967968223196043,-2.13483316974802e+29
2,2,0,1,0,0,0.035279024080038,-2.13483316974802e+29
2,2,1,1,0,0,0.141116096320152,-2.13483316974802e+29
2,2,2,1,0,0,0.458627313040494,-2.13483316974802e+29
2,2,3,1,0,0,0.987812674241065,-2.13483316974802e+29
2,3,0,1,0,0,0.0683531091550737,-2.13483316974802e+29
2,3,1,1,0,0,0.174190181395188,-2.13483316974802e+29
2,3,2,1,0,0,0.49170139811553,-2.13483316974802e+29
2,3,3,1,0,0,1.0208867593161,-2.13483316974802e+29
2,4,0,1,0,0,0.114656828260124,-2.13483316974802e+29
2,4,1,1,0,0,0.220493900500238,-2.13483316974802e+29
2,4,2,1,0,0,0.53800511722058,-2.13483316974802e+29
2,4,3,1,0,0,1.06719047842115,-2.13483316974802e+29
2,5,0,1,0,0,0.174190181395188,-2.13483316974802e+29
2,5,1,1,0,0,0.280027253635302,-2.13483316974802e+29
2,5,2,1,0,0,0.597538470355644,-2.13483316974802e+29
2,5,3,1,0,0,1.12672383155621,-2.13483316974802e+29
2,6,0,1,0,0,0.246953168560266,-2.13483316974802e+29
2,6,1,1,0,0,0.35279024080038,-2.13483316974802e+29
2,6,2,1,0,0,0.670301457520723,-2.13483316974802e+29
2,6,3,1,0,0,1.19948681872129,-2.13483316974802e+29
2,7,0,1,0,0,0.332945789755359,-2.13483316974802e+29
2,7,1,1,0,0,0.438782861995473,-2.13483316974802e+29
2,7,2,1,0,0,0.756294078715815,-2.13483316974802e+29
2,7,3,1,0,0,1.28547943991639,-2.13483316974802e+29
2,8,0,1,0,0,0.432168044980466,-2.13483316974802e+29
2,8,1,1,0,0,0.53800511722058,-2.13483316974802e+29
2,8,2,1,0,0,0.855516333940922,-2.13483316974802e+29
2,8,3,1,0,0,1.38470169514149,-2.13483316974802e+29
2,9,0,1,0,0,0.544619934235587,-2.13483316974802e+29
2,9,1,1,0,0,0.650457006475701,-2.13483316974802e+29
2,9,2,1,0,0,0.967968223196043,-2.13483316974802e+29
2,9,3,1,0,0,1.49715358439661,-2.13483316974802e+29
3,0,0,1,0,0,0.023519349386692,-2.13483316974802e+29
3,0,1,1,0,0,0.129356421626806,-2.13483316974802e+29
3,0,2,1,0,0,0.446867638347148,-2.13483316974802e+29
3,0,3,1,0,0,0.976052999547719,-2.13483316974802e+29
