------------------------------------------------------------
 Wavefunction  1
------------------------------------------------------------
Distance (nm), Wavefunction (arbitrary units)
                 -35,            -6.55e-06
               -34.9,            -6.55e-06
               -34.8,            -6.57e-06
               -34.7,            -6.59e-06
               -34.6,            -6.62e-06
               -34.5,            -6.66e-06
               -34.4,             -6.7e-06
               -34.3,            -6.76e-06
               -34.2,            -6.83e-06
               -34.1,             -6.9e-06
                 -34,            -6.99e-06
               -33.9,            -7.08e-06
               -33.8,            -7.18e-06
               -33.7,            -7.29e-06
               -33.6,            -7.42e-06
               -33.5,            -7.55e-06
               -33.4,            -7.69e-06
               -33.3,            -7.84e-06
               -33.2,               -8e-06
               -33.1,            -8.18e-06
                 -33,            -8.36e-06
               -32.9,            -8.56e-06
               -32.8,            -8.76e-06
               -32.7,            -8.98e-06
               -32.6,            -9.21e-06
               -32.5,            -9.45e-06
               -32.4,            -9.71e-06
               -32.3,            -9.97e-06
               -32.2,            -1.03e-05
               -32.1,            -1.05e-05
                 -32,            -1.09e-05
               -31.9,            -1.12e-05
               -31.8,            -1.15e-05
               -31.7,            -1.19e-05
               -31.6,            -1.22e-05
               -31.5,            -1.26e-05
               -31.4,             -1.3e-05
               -31.3,            -1.34e-05
               -31.2,            -1.39e-05
               -31.1,            -1.43e-05
                 -31,            -1.48e-05
               -30.9,            -1.53e-05
               -30.8,            -1.58e-05
               -30.7,            -1.63e-05
               -30.6,            -1.69e-05
               -30.5,            -1.75e-05
               -30.4,            -1.81e-05
               -30.3,            -1.87e-05
               -30.2,            -1.94e-05
               -30.1,               -2e-05
                 -30,            -2.07e-05
               -29.9,            -2.15e-05
               -29.8,            -2.22e-05
               -29.7,             -2.3e-05
               -29.6,            -2.38e-05
               -29.5,            -2.47e-05
               -29.4,            -2.56e-05
               -29.3,            -2.65e-05
               -29.2,            -2.74e-05
               -29.1,            -2.84e-05
                 -29,            -2.94e-05
               -28.9,            -3.05e-05
               -28.8,            -3.16e-05
               -28.7,            -3.28e-05
               -28.6,             -3.4e-05
               -28.5,            -3.52e-05
               -28.4,            -3.65e-05
               -28.3,            -3.78e-05
               -28.2,            -3.92e-05
               -28.1,            -4.06e-05
                 -28,            -4.21e-05
               -27.9,            -4.36e-05
               -27.8,            -4.52e-05
               -27.7,            -4.69e-05
               -27.6,            -4.86e-05
               -27.5,            -5.04e-05
               -27.4,            -5.23e-05
               -27.3,            -5.42e-05
               -27.2,            -5.62e-05
               -27.1,            -5.83e-05
                 -27,            -6.04e-05
               -26.9,            -6.26e-05
               -26.8,            -6.49e-05
               -26.7,            -6.73e-05
               -26.6,            -6.98e-05
               -26.5,            -7.24e-05
               -26.4,            -7.51e-05
               -26.3,            -7.78e-05
               -26.2,            -8.07e-05
               -26.1,            -8.37e-05
                 -26,            -8.68e-05
               -25.9,               -9e-05
               -25.8,            -9.33e-05
               -25.7,            -9.68e-05
               -25.6,              -0.0001
               -25.5,            -0.000104
               -25.4,            -0.000108
               -25.3,            -0.000112
               -25.2,            -0.000116
               -25.1,             -0.00012
                 -25,            -0.000125
               -24.9,            -0.000129
               -24.8,            -0.000134
               -24.7,            -0.000139
               -24.6,            -0.000144
               -24.5,             -0.00015
               -24.4,            -0.000155
               -24.3,            -0.000161
               -24.2,            -0.000167
               -24.1,            -0.000173
                 -24,             -0.00018
               -23.9,            -0.000186
               -23.8,            -0.000193
               -23.7,              -0.0002
               -23.6,            -0.000208
               -23.5,            -0.000215
               -23.4,            -0.000223
               -23.3,            -0.000232
               -23.2,             -0.00024
               -23.1,            -0.000249
                 -23,            -0.000258
               -22.9,            -0.000268
               -22.8,            -0.000278
               -22.7,            -0.000288
               -22.6,            -0.000299
               -22.5,             -0.00031
               -22.4,            -0.000321
               -22.3,            -0.000333
               -22.2,            -0.000346
               -22.1,            -0.000358
                 -22,            -0.000372
               -21.9,            -0.000386
               -21.8,              -0.0004
               -21.7,            -0.000415
               -21.6,             -0.00043
               -21.5,            -0.000446
               -21.4,            -0.000462
               -21.3,             -0.00048
               -21.2,            -0.000497
               -21.1,            -0.000516
                 -21,            -0.000535
               -20.9,            -0.000555
               -20.8,            -0.000575
               -20.7,            -0.000597
               -20.6,            -0.000619
               -20.5,            -0.000642
               -20.4,            -0.000666
               -20.3,             -0.00069
               -20.2,            -0.000716
               -20.1,            -0.000742
                 -20,             -0.00077
               -19.9,            -0.000798
               -19.8,            -0.000828
               -19.7,            -0.000859
               -19.6,            -0.000891
               -19.5,            -0.000924
               -19.4,            -0.000958
               -19.3,            -0.000993
               -19.2,             -0.00103
               -19.1,             -0.00107
                 -19,             -0.00111
               -18.9,             -0.00115
               -18.8,             -0.00119
               -18.7,             -0.00124
               -18.6,             -0.00128
               -18.5,             -0.00133
               -18.4,             -0.00138
               -18.3,             -0.00143
               -18.2,             -0.00148
               -18.1,             -0.00154
                 -18,             -0.00159
               -17.9,             -0.00165
               -17.8,             -0.00171
               -17.7,             -0.00178
               -17.6,             -0.00184
               -17.5,             -0.00191
               -17.4,             -0.00198
               -17.3,             -0.00206
               -17.2,             -0.00213
               -17.1,             -0.00221
                 -17,             -0.00229
               -16.9,             -0.00238
               -16.8,             -0.00247
               -16.7,             -0.00256
               -16.6,             -0.00265
               -16.5,             -0.00275
               -16.4,             -0.00285
               -16.3,             -0.00296
               -16.2,             -0.00307
               -16.1,             -0.00318
                 -16,              -0.0033
               -15.9,             -0.00342
               -15.8,             -0.00355
               -15.7,             -0.00368
               -15.6,             -0.00382
               -15.5,             -0.00396
               -15.4,             -0.00411
               -15.3,             -0.00426
               -15.2,             -0.00442
               -15.1,             -0.00458
                 -15,             -0.00475
               -14.9,             -0.00493
               -14.8,             -0.00511
               -14.7,              -0.0053
               -14.6,              -0.0055
               -14.5,              -0.0057
               -14.4,             -0.00591
               -14.3,             -0.00613
               -14.2,             -0.00636
               -14.1,             -0.00659
                 -14,             -0.00684
               -13.9,             -0.00709
               -13.8,             -0.00735
               -13.7,             -0.00763
               -13.6,             -0.00791
               -13.5,              -0.0082
               -13.4,             -0.00851
               -13.3,             -0.00882
               -13.2,             -0.00915
               -13.1,             -0.00949
                 -13,             -0.00984
               -12.9,              -0.0102
               -12.8,              -0.0106
               -12.7,               -0.011
               -12.6,              -0.0114
               -12.5,              -0.0118
               -12.4,              -0.0122
               -12.3,              -0.0127
               -12.2,              -0.0132
               -12.1,              -0.0137
                 -12,              -0.0142
               -11.9,              -0.0147
               -11.8,              -0.0152
               -11.7,              -0.0158
               -11.6,              -0.0164
               -11.5,               -0.017
               -11.4,              -0.0176
               -11.3,              -0.0183
               -11.2,              -0.0189
               -11.1,              -0.0197
                 -11,              -0.0204
               -10.9,              -0.0211
               -10.8,              -0.0219
               -10.7,              -0.0227
               -10.6,              -0.0236
               -10.5,              -0.0244
               -10.4,              -0.0254
               -10.3,              -0.0263
               -10.2,              -0.0273
               -10.1,              -0.0283
                 -10,              -0.0293
                -9.9,              -0.0304
                -9.8,              -0.0315
                -9.7,              -0.0327
                -9.6,              -0.0339
                -9.5,              -0.0352
                -9.4,              -0.0365
                -9.3,              -0.0378
                -9.2,              -0.0392
                -9.1,              -0.0407
                  -9,              -0.0422
                -8.9,              -0.0438
                -8.8,              -0.0454
                -8.7,              -0.0471
                -8.6,              -0.0488
                -8.5,              -0.0506
                -8.4,              -0.0525
                -8.3,              -0.0545
                -8.2,              -0.0565
                -8.1,              -0.0586
                  -8,              -0.0607
                -7.9,               -0.063
                -7.8,              -0.0653
                -7.7,              -0.0677
                -7.6,              -0.0703
                -7.5,              -0.0729
                -7.4,              -0.0756
                -7.3,              -0.0784
                -7.2,              -0.0813
                -7.1,              -0.0843
                  -7,              -0.0874
                -6.9,              -0.0907
                -6.8,               -0.094
                -6.7,              -0.0975
                -6.6,               -0.101
                -6.5,               -0.105
                -6.4,               -0.109
                -6.3,               -0.113
                -6.2,               -0.117
                -6.1,               -0.121
                  -6,               -0.126
                -5.9,                -0.13
                -5.8,               -0.135
                -5.7,                -0.14
                -5.6,               -0.146
                -5.5,               -0.151
                -5.4,               -0.156
                -5.3,               -0.162
                -5.2,               -0.168
                -5.1,               -0.175
                  -5,               -0.181
                -4.9,               -0.187
                -4.8,               -0.194
                -4.7,                 -0.2
                -4.6,               -0.206
                -4.5,               -0.212
                -4.4,               -0.218
                -4.3,               -0.224
                -4.2,                -0.23
                -4.1,               -0.235
                  -4,               -0.241
                -3.9,               -0.246
                -3.8,               -0.252
                -3.7,               -0.257
                -3.6,               -0.262
                -3.5,               -0.267
                -3.4,               -0.272
                -3.3,               -0.277
                -3.2,               -0.282
                -3.1,               -0.286
                  -3,               -0.291
                -2.9,               -0.295
                -2.8,               -0.299
                -2.7,               -0.303
                -2.6,               -0.307
                -2.5,               -0.311
                -2.4,               -0.314
                -2.3,               -0.318
                -2.2,               -0.321
                -2.1,               -0.324
                  -2,               -0.328
                -1.9,                -0.33
                -1.8,               -0.333
                -1.7,               -0.336
                -1.6,               -0.338
                -1.5,               -0.341
                -1.4,               -0.343
                -1.3,               -0.345
                -1.2,               -0.347
                -1.1,               -0.349
                  -1,                -0.35
                -0.9,               -0.352
                -0.8,               -0.353
                -0.7,               -0.354
                -0.6,               -0.355
                -0.5,               -0.356
                -0.4,               -0.357
                -0.3,               -0.357
                -0.2,               -0.358
                -0.1,               -0.358
            2.28e-13,               -0.358
                 0.1,               -0.358
                 0.2,               -0.358
                 0.3,               -0.357
                 0.4,               -0.357
                 0.5,               -0.356
                 0.6,               -0.355
                 0.7,               -0.354
                 0.8,               -0.353
                 0.9,               -0.352
                   1,                -0.35
                 1.1,               -0.349
                 1.2,               -0.347
                 1.3,               -0.345
                 1.4,               -0.343
                 1.5,               -0.341
                 1.6,               -0.338
                 1.7,               -0.336
                 1.8,               -0.333
                 1.9,                -0.33
                   2,               -0.328
                 2.1,               -0.324
                 2.2,               -0.321
                 2.3,               -0.318
                 2.4,               -0.314
                 2.5,               -0.311
                 2.6,               -0.307
                 2.7,               -0.303
                 2.8,               -0.299
                 2.9,               -0.295
                   3,               -0.291
                 3.1,               -0.286
                 3.2,               -0.282
                 3.3,               -0.277
                 3.4,               -0.272
                 3.5,               -0.267
                 3.6,               -0.262
                 3.7,               -0.257
                 3.8,               -0.252
                 3.9,               -0.246
                   4,               -0.241
                 4.1,               -0.235
                 4.2,                -0.23
                 4.3,               -0.224
                 4.4,               -0.218
                 4.5,               -0.212
                 4.6,               -0.206
                 4.7,                 -0.2
                 4.8,               -0.194
                 4.9,               -0.187
                   5,               -0.181
                 5.1,               -0.175
                 5.2,               -0.168
                 5.3,               -0.162
                 5.4,               -0.156
                 5.5,               -0.151
                 5.6,               -0.146
                 5.7,                -0.14
                 5.8,               -0.135
                 5.9,                -0.13
                   6,               -0.126
                 6.1,               -0.121
                 6.2,               -0.117
                 6.3,               -0.113
                 6.4,               -0.109
                 6.5,               -0.105
                 6.6,               -0.101
                 6.7,              -0.0975
                 6.8,               -0.094
                 6.9,              -0.0907
                   7,              -0.0874
                 7.1,              -0.0843
                 7.2,              -0.0813
                 7.3,              -0.0784
                 7.4,              -0.0756
                 7.5,              -0.0729
                 7.6,              -0.0703
                 7.7,              -0.0677
                 7.8,              -0.0653
                 7.9,               -0.063
                   8,              -0.0607
                 8.1,              -0.0586
                 8.2,              -0.0565
                 8.3,              -0.0545
                 8.4,              -0.0525
                 8.5,              -0.0506
                 8.6,              -0.0488
                 8.7,              -0.0471
                 8.8,              -0.0454
                 8.9,              -0.0438
                   9,              -0.0422
