------------------------------------------------------------
 Wavefunction  1
------------------------------------------------------------
Distance (nm), Wavefunction (arbitrary units)
                 -35,            -1.66e-14
               -34.9,            -1.91e-14
               -34.8,               -2e-14
               -34.7,            -2.09e-14
               -34.6,            -2.32e-14
               -34.5,            -2.17e-14
               -34.4,            -2.25e-14
               -34.3,            -2.46e-14
               -34.2,            -2.41e-14
               -34.1,            -2.26e-14
                 -34,            -2.08e-14
               -33.9,            -1.87e-14
               -33.8,            -1.59e-14
               -33.7,            -1.21e-14
               -33.6,            -9.64e-15
               -33.5,            -6.84e-15
               -33.4,            -4.65e-15
               -33.3,            -2.13e-15
               -33.2,            -1.56e-15
               -33.1,            -9.72e-16
                 -33,            -5.81e-17
               -32.9,            -8.97e-16
               -32.8,            -1.38e-15
               -32.7,            -4.24e-16
               -32.6,              4.9e-16
               -32.5,             2.24e-16
               -32.4,            -2.47e-15
               -32.3,            -4.21e-15
               -32.2,            -4.42e-15
               -32.1,            -2.09e-15
                 -32,            -6.59e-16
               -31.9,             2.33e-16
               -31.8,             3.94e-15
               -31.7,              7.1e-15
               -31.6,             9.35e-15
               -31.5,             9.68e-15
               -31.4,             1.03e-14
               -31.3,             8.01e-15
               -31.2,             6.43e-15
               -31.1,             4.43e-15
                 -31,             1.58e-15
               -30.9,            -1.09e-15
               -30.8,            -2.01e-15
               -30.7,            -2.23e-15
               -30.6,             -2.2e-15
               -30.5,            -1.49e-15
               -30.4,            -5.15e-16
               -30.3,            -7.47e-16
               -30.2,            -1.57e-15
               -30.1,            -3.88e-15
                 -30,            -7.44e-15
               -29.9,            -7.78e-15
               -29.8,            -8.34e-15
               -29.7,            -1.04e-14
               -29.6,            -1.25e-14
               -29.5,            -1.14e-14
               -29.4,            -8.29e-15
               -29.3,            -3.58e-15
               -29.2,            -1.59e-15
               -29.1,             8.05e-18
                 -29,             1.03e-15
               -28.9,             4.59e-16
               -28.8,            -6.38e-16
               -28.7,            -2.33e-15
               -28.6,            -1.66e-15
               -28.5,            -5.16e-15
               -28.4,            -7.54e-15
               -28.3,            -8.97e-15
               -28.2,            -1.05e-14
               -28.1,             -1.3e-14
                 -28,             -1.3e-14
               -27.9,            -1.43e-14
               -27.8,            -1.56e-14
               -27.7,            -1.52e-14
               -27.6,            -1.33e-14
               -27.5,            -1.13e-14
               -27.4,            -1.05e-14
               -27.3,            -9.04e-15
               -27.2,            -8.34e-15
               -27.1,            -6.25e-15
                 -27,             -3.6e-15
               -26.9,            -1.88e-15
               -26.8,            -1.23e-15
               -26.7,            -1.78e-15
               -26.6,            -1.09e-15
               -26.5,             6.25e-16
               -26.4,             5.94e-16
               -26.3,            -1.75e-16
               -26.2,            -3.42e-15
               -26.1,            -4.96e-15
                 -26,            -6.39e-15
               -25.9,            -8.35e-15
               -25.8,            -1.12e-14
               -25.7,            -1.29e-14
               -25.6,            -1.34e-14
               -25.5,            -1.54e-14
               -25.4,            -1.76e-14
               -25.3,            -1.67e-14
               -25.2,            -1.67e-14
               -25.1,            -1.75e-14
