------------------------------------------------------------
 Wavefunction  1
------------------------------------------------------------
Distance (nm), Wavefunction (arbitrary units)
               -13.2,             -2.5e-10
               -13.1,            -3.16e-10
                 -13,               -4e-10
               -12.9,            -5.05e-10
               -12.8,            -6.39e-10
               -12.7,            -8.09e-10
               -12.6,            -1.02e-09
               -12.5,            -1.29e-09
               -12.4,            -1.64e-09
               -12.3,            -2.07e-09
               -12.2,            -2.62e-09
               -12.1,            -3.31e-09
                 -12,            -4.19e-09
               -11.9,             -5.3e-09
               -11.8,             -6.7e-09
               -11.7,            -8.47e-09
               -11.6,            -1.07e-08
               -11.5,            -1.36e-08
               -11.4,            -1.71e-08
               -11.3,            -2.17e-08
               -11.2,            -2.74e-08
               -11.1,            -3.47e-08
                 -11,            -4.39e-08
               -10.9,            -5.55e-08
               -10.8,            -7.02e-08
               -10.7,            -8.88e-08
               -10.6,            -1.12e-07
               -10.5,            -1.42e-07
               -10.4,             -1.8e-07
               -10.3,            -2.27e-07
               -10.2,            -2.87e-07
               -10.1,            -3.64e-07
                 -10,             -4.6e-07
                -9.9,            -5.82e-07
                -9.8,            -7.36e-07
                -9.7,             -9.3e-07
                -9.6,            -1.18e-06
                -9.5,            -1.49e-06
                -9.4,            -1.88e-06
                -9.3,            -2.38e-06
                -9.2,            -3.01e-06
                -9.1,            -3.81e-06
                  -9,            -4.82e-06
                -8.9,            -6.09e-06
                -8.8,            -7.71e-06
                -8.7,            -9.75e-06
                -8.6,            -1.23e-05
                -8.5,            -1.56e-05
                -8.4,            -1.97e-05
                -8.3,             -2.5e-05
                -8.2,            -3.16e-05
                -8.1,            -3.99e-05
                  -8,            -5.05e-05
                -7.9,            -6.39e-05
                -7.8,            -8.08e-05
                -7.7,            -0.000102
                -7.6,            -0.000129
                -7.5,            -0.000163
                -7.4,            -0.000207
                -7.3,            -0.000262
                -7.2,            -0.000331
                -7.1,            -0.000418
                  -7,            -0.000529
                -6.9,            -0.000669
                -6.8,            -0.000847
                -6.7,             -0.00107
                -6.6,             -0.00135
                -6.5,             -0.00171
                -6.4,             -0.00217
                -6.3,             -0.00274
                -6.2,             -0.00347
                -6.1,             -0.00438
                  -6,             -0.00554
                -5.9,             -0.00701
                -5.8,             -0.00887
                -5.7,              -0.0112
                -5.6,              -0.0142
                -5.5,              -0.0179
                -5.4,              -0.0227
                -5.3,              -0.0287
                -5.2,              -0.0363
                -5.1,              -0.0459
                  -5,              -0.0581
                -4.9,              -0.0702
                -4.8,              -0.0823
                -4.7,              -0.0943
                -4.6,               -0.106
                -4.5,               -0.118
                -4.4,                -0.13
                -4.3,               -0.141
                -4.2,               -0.153
                -4.1,               -0.164
                  -4,               -0.176
                -3.9,               -0.187
                -3.8,               -0.198
                -3.7,               -0.208
                -3.6,               -0.219
                -3.5,               -0.229
                -3.4,                -0.24
                -3.3,                -0.25
                -3.2,                -0.26
                -3.1,               -0.269
                  -3,               -0.279
                -2.9,               -0.288
                -2.8,               -0.297
                -2.7,               -0.305
                -2.6,               -0.314
                -2.5,               -0.322
                -2.4,                -0.33
                -2.3,               -0.338
                -2.2,               -0.345
                -2.1,               -0.352
                  -2,               -0.359
                -1.9,               -0.365
                -1.8,               -0.372
                -1.7,               -0.377
                -1.6,               -0.383
                -1.5,               -0.388
                -1.4,               -0.393
                -1.3,               -0.398
                -1.2,               -0.402
                -1.1,               -0.406
                  -1,                -0.41
                -0.9,               -0.413
                -0.8,               -0.416
                -0.7,               -0.419
                -0.6,               -0.421
                -0.5,               -0.423
                -0.4,               -0.424
                -0.3,               -0.426
                -0.2,               -0.427
                -0.1,               -0.427
            2.28e-13,               -0.427
                 0.1,               -0.427
                 0.2,               -0.427
                 0.3,               -0.426
                 0.4,               -0.424
                 0.5,               -0.423
                 0.6,               -0.421
                 0.7,               -0.419
                 0.8,               -0.416
                 0.9,               -0.413
                   1,                -0.41
                 1.1,               -0.406
                 1.2,               -0.402
                 1.3,               -0.398
                 1.4,               -0.393
                 1.5,               -0.388
                 1.6,               -0.383
                 1.7,               -0.377
                 1.8,               -0.372
                 1.9,               -0.365
                   2,               -0.359
                 2.1,               -0.352
                 2.2,               -0.345
                 2.3,               -0.338
                 2.4,                -0.33
                 2.5,               -0.322
                 2.6,               -0.314
                 2.7,               -0.305
                 2.8,               -0.297
                 2.9,               -0.288
                   3,               -0.279
                 3.1,               -0.269
                 3.2,                -0.26
                 3.3,                -0.25
                 3.4,                -0.24
                 3.5,               -0.229
                 3.6,               -0.219
                 3.7,               -0.208
                 3.8,               -0.198
                 3.9,               -0.187
                   4,               -0.176
                 4.1,               -0.164
                 4.2,               -0.153
                 4.3,               -0.141
                 4.4,                -0.13
                 4.5,               -0.118
                 4.6,               -0.106
                 4.7,              -0.0943
                 4.8,              -0.0823
                 4.9,              -0.0702
                   5,              -0.0581
                 5.1,              -0.0459
                 5.2,              -0.0363
                 5.3,              -0.0287
                 5.4,              -0.0227
                 5.5,              -0.0179
                 5.6,              -0.0142
                 5.7,              -0.0112
                 5.8,             -0.00887
                 5.9,             -0.00701
                   6,             -0.00554
                 6.1,             -0.00438
                 6.2,             -0.00347
                 6.3,             -0.00274
                 6.4,             -0.00217
                 6.5,             -0.00171
                 6.6,             -0.00135
                 6.7,             -0.00107
                 6.8,            -0.000847
                 6.9,            -0.000669
                   7,            -0.000529
                 7.1,            -0.000418
                 7.2,            -0.000331
                 7.3,            -0.000262
                 7.4,            -0.000207
                 7.5,            -0.000163
                 7.6,            -0.000129
                 7.7,            -0.000102
                 7.8,            -8.08e-05
                 7.9,            -6.39e-05
                   8,            -5.05e-05
                 8.1,            -3.99e-05
                 8.2,            -3.16e-05
                 8.3,             -2.5e-05
                 8.4,            -1.97e-05
                 8.5,            -1.56e-05
                 8.6,            -1.23e-05
                 8.7,            -9.75e-06
                 8.8,            -7.71e-06
                 8.9,            -6.09e-06
                   9,            -4.82e-06
                 9.1,            -3.81e-06
                 9.2,            -3.01e-06
                 9.3,            -2.38e-06
                 9.4,            -1.88e-06
                 9.5,            -1.49e-06
                 9.6,            -1.18e-06
                 9.7,             -9.3e-07
                 9.8,            -7.36e-07
                 9.9,            -5.82e-07
                  10,             -4.6e-07
                10.1,            -3.64e-07
                10.2,            -2.87e-07
                10.3,            -2.27e-07
                10.4,             -1.8e-07
                10.5,            -1.42e-07
                10.6,            -1.12e-07
                10.7,            -8.88e-08
                10.8,            -7.02e-08
                10.9,            -5.55e-08
                  11,            -4.39e-08
                11.1,            -3.47e-08
                11.2,            -2.74e-08
                11.3,            -2.17e-08
                11.4,            -1.71e-08
                11.5,            -1.36e-08
                11.6,            -1.07e-08
                11.7,            -8.47e-09
                11.8,             -6.7e-09
                11.9,             -5.3e-09
                  12,            -4.19e-09
                12.1,            -3.31e-09
                12.2,            -2.62e-09
                12.3,            -2.07e-09
                12.4,            -1.64e-09
                12.5,            -1.29e-09
                12.6,            -1.02e-09
                12.7,            -8.09e-10
                12.8,            -6.39e-10
                12.9,            -5.05e-10
                  13,               -4e-10
                13.1,            -3.16e-10
                13.2,             -2.5e-10
                13.3,            -1.98e-10
                13.4,            -1.56e-10
                13.5,            -1.23e-10
                13.6,            -9.76e-11
                13.7,            -7.72e-11
                13.8,            -6.11e-11
                13.9,            -4.83e-11
                  14,            -3.82e-11
                14.1,            -3.02e-11
                14.2,            -2.39e-11
                14.3,            -1.89e-11
                14.4,            -1.49e-11
                14.5,            -1.18e-11
                14.6,            -9.33e-12
                14.7,            -7.38e-12
                14.8,            -5.85e-12
                14.9,            -4.64e-12
                  15,            -3.69e-12
                15.1,            -2.93e-12
                15.2,            -2.34e-12
                15.3,            -1.86e-12
                15.4,            -1.48e-12
                15.5,            -1.18e-12
                15.6,            -9.52e-13
                15.7,             -7.7e-13
                15.8,             -6.2e-13
                15.9,            -5.03e-13
                  16,            -4.06e-13
                16.1,            -3.36e-13
                16.2,            -2.81e-13
                16.3,            -2.33e-13
                16.4,            -1.93e-13
                16.5,            -1.63e-13
                16.6,            -1.39e-13
                16.7,            -1.23e-13
                16.8,            -1.08e-13
                16.9,            -9.58e-14
                  17,            -8.19e-14
                17.1,             -6.6e-14
                17.2,            -5.89e-14
                17.3,             -4.4e-14
                17.4,            -3.33e-14
                17.5,            -2.87e-14
                17.6,            -2.39e-14
                17.7,             -1.5e-14
                17.8,            -2.62e-15
                17.9,             2.19e-15
                  18,             6.19e-15
                18.1,             9.91e-15
                18.2,             1.06e-14
                18.3,             1.27e-14
                18.4,             1.38e-14
                18.5,             1.69e-14
                18.6,             1.53e-14
                18.7,              1.3e-14
                18.8,              9.5e-15
                18.9,             7.03e-15
                  19,             9.62e-15
                19.1,             1.83e-14
                19.2,             2.98e-14
                19.3,             3.76e-14
                19.4,             4.17e-14
                19.5,              4.5e-14
                19.6,             4.57e-14
                19.7,             4.92e-14
                19.8,             4.86e-14
                19.9,             4.44e-14
                  20,             3.93e-14
                20.1,             3.62e-14
                20.2,             2.68e-14
                20.3,             2.22e-14
                20.4,             2.11e-14
                20.5,             2.09e-14
                20.6,             2.31e-14
                20.7,              2.9e-14
                20.8,             3.24e-14
                20.9,             3.71e-14
                  21,             3.71e-14
                21.1,             3.45e-14
                21.2,             3.06e-14
                21.3,             2.11e-14
                21.4,             1.21e-14
                21.5,             9.59e-15
                21.6,             7.51e-15
                21.7,             8.57e-15
                21.8,             1.39e-14
                21.9,             1.94e-14
                  22,             2.57e-14
                22.1,             3.31e-14
                22.2,             3.07e-14
                22.3,             2.27e-14
                22.4,             1.54e-14
